ASISr_X,ASISr_Y,ASISr_Z,ASISl_X,ASISl_Y,ASISl_Z,PSISr_X,PSISr_Y,PSISr_Z,PSISl_X,PSISl_Y,PSISl_Z
667.5830000000001,307.98400000000004,174.14700000000002,748.4630000000001,76.7893,188.69099999999997,852.795,299.577,221.255,887.337,193.00400000000002,222.083
667.701,308.047,174.18099999999998,748.5,77.0112,188.722,852.8439999999999,299.346,221.271,887.2460000000001,192.739,222.139
667.817,308.126,174.18,748.068,76.6313,188.99599999999998,852.925,299.098,221.327,887.186,192.47400000000002,222.225
667.9060000000001,308.13,174.175,747.8919999999999,76.5337,189.125,852.97,298.83799999999997,221.37099999999998,887.125,192.2,222.31599999999997
667.9810000000001,308.101,174.16299999999998,747.7719999999999,76.5205,189.239,853.0010000000001,298.577,221.43400000000003,887.049,191.898,222.421
668.0160000000001,308.02099999999996,174.13400000000001,747.591,76.3728,189.328,853.1469999999999,298.33,221.549,886.962,191.57,222.523
668.0319999999999,307.932,174.082,747.3839999999999,76.183,189.382,852.9830000000001,297.985,221.56400000000002,886.846,191.25900000000001,222.622
668.0139999999999,307.789,174.005,747.227,76.015,189.417,853.059,297.724,221.68599999999998,886.722,190.94299999999998,222.722
667.9680000000001,307.61400000000003,173.933,747.044,75.8146,189.446,852.955,297.38599999999997,221.799,886.577,190.608,222.82
667.923,307.389,173.864,746.86,75.5436,189.45,852.84,297.084,221.882,886.428,190.297,222.923
667.845,307.126,173.80900000000003,746.682,75.2465,189.46200000000002,852.7189999999999,296.769,221.954,886.291,189.979,223.014
667.7760000000001,306.832,173.77,746.4910000000001,74.892,189.5,852.578,296.447,222.025,886.12,189.63400000000001,223.067
667.695,306.501,173.747,746.2860000000001,74.5154,189.513,852.441,296.11,222.092,885.962,189.28099999999998,223.13
667.6010000000001,306.121,173.753,746.053,73.9669,189.50799999999998,852.308,295.74,222.16299999999998,885.798,188.907,223.18
667.515,305.738,173.778,745.8739999999999,73.6338,189.523,852.1669999999999,295.337,222.227,885.6389999999999,188.497,223.213
667.428,305.328,173.81799999999998,745.765,73.2655,189.523,852.039,294.915,222.28,885.5039999999999,188.06900000000002,223.27200000000002
667.328,304.89599999999996,173.88299999999998,745.53,72.7887,189.567,851.919,294.472,222.329,885.367,187.636,223.33900000000003
667.222,304.443,173.94400000000002,745.383,72.3286,189.582,851.813,293.993,222.37,885.227,187.18599999999998,223.395
667.128,303.967,174.00400000000002,745.211,71.7881,189.59599999999998,851.672,293.515,222.407,885.0930000000001,186.717,223.46
666.997,303.466,174.072,745.067,71.2108,189.56599999999997,851.541,293.029,222.456,884.962,186.263,223.52200000000002
666.89,302.935,174.135,745.128,70.9851,189.59400000000002,851.4069999999999,292.533,222.523,884.819,185.817,223.59900000000002
666.757,302.379,174.18400000000003,745.257,70.7555,189.533,851.255,292.034,222.608,884.686,185.363,223.699
666.6110000000001,301.812,174.217,744.988,69.9071,189.54,851.06,291.517,222.68900000000002,884.555,184.89700000000002,223.8
666.47,301.18,174.239,744.95,69.3278,189.49599999999998,850.857,291.018,222.81099999999998,884.586,184.519,223.958
666.315,300.551,174.267,744.909,68.7517,189.428,850.645,290.519,222.949,884.443,184.048,224.095
666.186,299.879,174.28,744.8910000000001,68.167,189.37599999999998,850.431,290.019,223.09,884.288,183.578,224.24200000000002
666.072,299.218,174.273,744.88,67.5714,189.301,850.2180000000001,289.51099999999997,223.261,884.155,183.10299999999998,224.417
665.8989999999999,298.556,174.26,744.883,66.9462,189.22099999999998,850.0239999999999,289.0,223.433,884.0110000000001,182.613,224.58599999999998
665.821,297.883,174.25599999999997,744.9069999999999,66.305,189.141,849.8580000000001,288.464,223.62,883.88,182.1,224.773
665.773,297.204,174.24599999999998,744.944,65.6783,189.07,849.7360000000001,287.913,223.808,883.794,181.581,224.958
665.773,296.55,174.235,745.01,65.0636,188.99,849.623,287.36,223.997,883.703,181.042,225.143
665.8689999999999,295.907,174.229,745.062,64.4354,188.916,849.57,286.763,224.19400000000002,883.6439999999999,180.47400000000002,225.31799999999998
665.832,295.316,174.19799999999998,745.1289999999999,63.8362,188.80200000000002,849.5189999999999,286.144,224.407,883.581,179.89,225.48
665.909,294.742,174.173,745.2180000000001,63.2462,188.68,849.529,285.509,224.63299999999998,883.559,179.283,225.66400000000002
666.11,294.16900000000004,174.169,745.296,62.6714,188.55700000000002,849.553,284.867,224.882,883.554,178.65400000000002,225.865
666.247,293.624,174.15099999999998,745.4,62.1439,188.437,849.597,284.216,225.13400000000001,883.562,178.02700000000002,226.063
666.408,293.098,174.144,745.5110000000001,61.5962,188.33700000000002,849.658,283.572,225.40900000000002,883.566,177.386,226.27
666.6039999999999,292.58799999999997,174.138,745.635,61.0995,188.235,849.743,282.941,225.69400000000002,883.63,176.752,226.505
666.819,292.11400000000003,174.12099999999998,745.778,60.6057,188.148,849.8380000000001,282.32099999999997,226.00099999999998,883.6560000000001,176.10299999999998,226.72799999999998
667.071,291.649,174.10299999999998,745.914,60.1288,188.058,849.952,281.705,226.31599999999997,883.757,175.468,226.99
667.334,291.209,174.08599999999998,746.0219999999999,59.4872,187.938,850.081,281.08299999999997,226.648,883.845,174.83900000000003,227.252
