EMG1,EMG11,EMG5,IM EMG13
-2.25e-05,2.6899999999999997e-05,-5.81e-06,3.71e-06
-2.01e-05,2.8000000000000003e-05,-1.73e-06,3.71e-06
-1.6800000000000002e-05,2.9100000000000003e-05,3.38e-06,5.03e-06
-1.4300000000000002e-05,2.84e-05,4.41e-06,5.03e-06
-1.3000000000000001e-05,2.8800000000000002e-05,2.63e-06,4.52e-06
-1.25e-05,2.9199999999999998e-05,1.76e-06,4.52e-06
-1.32e-05,2.9999999999999997e-05,2.3e-06,3.66e-06
-1.5399999999999998e-05,2.98e-05,3.11e-06,3.66e-06
-1.9600000000000002e-05,3.06e-05,2.21e-06,1.47e-06
-2.18e-05,3.1e-05,2.86e-06,-1.17e-06
-2.0399999999999998e-05,3.04e-05,4.8e-06,-1.17e-06
-1.7e-05,2.8199999999999998e-05,5.34e-06,-8.32e-07
-1.51e-05,3.04e-05,5.22e-06,-8.32e-07
-1.4400000000000001e-05,2.84e-05,4.63e-06,-3.64e-07
-1.4000000000000001e-05,2.8699999999999996e-05,9.64e-07,-3.64e-07
-1.3699999999999998e-05,2.9299999999999997e-05,-3.89e-06,-2.33e-06
-1.4300000000000002e-05,2.94e-05,-5.04e-06,-2.33e-06
-1.64e-05,2.84e-05,-1.83e-06,-9.73e-07
-1.89e-05,2.94e-05,2.53e-06,1.53e-06
-2.0399999999999998e-05,2.9100000000000003e-05,6.05e-06,1.53e-06
-2.11e-05,2.7399999999999995e-05,8.02e-06,3.14e-06
-2.17e-05,2.7600000000000003e-05,9.03e-06,3.14e-06
-2.3100000000000002e-05,2.8199999999999998e-05,1.0199999999999999e-05,-6.6e-07
-2.46e-05,2.8000000000000003e-05,1.1e-05,-6.6e-07
-2.5e-05,2.8300000000000003e-05,1.06e-05,1.6100000000000003e-07
-2.48e-05,2.9299999999999997e-05,9.86e-06,1.6100000000000003e-07
-2.46e-05,2.94e-05,9.38e-06,-3.5799999999999995e-07
-2.5e-05,2.84e-05,8.73e-06,-2.01e-06
-2.54e-05,2.99e-05,7.81e-06,-2.01e-06
-2.6000000000000002e-05,2.9600000000000005e-05,7.53e-06,-1.71e-06
-2.6300000000000002e-05,2.8600000000000004e-05,8.43e-06,-1.71e-06
-2.59e-05,2.8699999999999996e-05,8.5e-06,-3.84e-06
-2.48e-05,2.8800000000000002e-05,8.35e-06,-3.84e-06
-2.46e-05,2.8899999999999998e-05,9.12e-06,-2.18e-06
-2.4299999999999998e-05,2.6700000000000002e-05,9.53e-06,-2.18e-06
-2.4299999999999998e-05,2.7399999999999995e-05,9.02e-06,-2.25e-06
-2.27e-05,2.72e-05,8.05e-06,-7.56e-06
-1.99e-05,2.78e-05,7.08e-06,-7.56e-06
-1.73e-05,2.8000000000000003e-05,5.96e-06,-7.84e-06
-1.47e-05,2.8899999999999998e-05,4.08e-06,-7.84e-06
-1.36e-05,2.8199999999999998e-05,1.28e-06,-4.14e-06
-1.3699999999999998e-05,2.84e-05,1.11e-06,-4.14e-06
-1.36e-05,2.8300000000000003e-05,2.75e-06,-1.54e-07
-1.3800000000000002e-05,2.8800000000000002e-05,4.19e-06,-1.54e-07
-1.3300000000000001e-05,2.8999999999999997e-05,5.12e-06,8.48e-07
-1.25e-05,2.8600000000000004e-05,5.03e-06,1.58e-06
-1.31e-05,2.8999999999999997e-05,4.23e-06,1.58e-06
-1.57e-05,2.9299999999999997e-05,4.66e-06,6.71e-06
-1.87e-05,2.8699999999999996e-05,6.7e-06,6.71e-06
